Release_Year,Total_Estimated_Revenue,Total_Estimated_Owners,Number_of_Games
1997.0,1498500.0,7650000.0,2
1998.0,74925000.0,7500000.0,1
1999.0,74850000.0,15750000.0,3
2000.0,187275000.0,22500000.0,2
2001.0,122766000.0,23400000.0,4
2002.0,11242500.0,750000.0,1
2003.0,39972750.0,7725000.0,3
2004.0,645532500.0,71750000.0,7
2005.0,18514650.0,37035000.0,7
2006.0,820971550.0,74415000.0,69
2007.0,711346400.0,156650000.0,109
2008.0,798038250.0,92265000.0,176
2009.0,1986985350.0,163675000.0,339
2010.0,1867960700.0,135975000.0,300
2011.0,3003528000.0,225395000.0,286
2012.0,3124266650.0,331745000.0,356
2013.0,4275627350.0,570610000.0,490
2014.0,5098891000.0,457785000.0,1627
2015.0,6501749050.0,610310000.0,2683
2016.0,7985142300.0,668420000.0,4407
2017.0,6930359300.0,732660000.0,6324
2018.0,8594915100.0,612745000.0,8166
2019.0,6435078200.0,516915000.0,7810
2020.0,9694808600.0,600440000.0,9631
2021.0,10671997000.0,574300000.0,12374
2022.0,6229369300.0,313900000.0,13979
2023.0,4389384650.0,214460000.0,15542
2024.0,5961808600.0,179140000.0,12579
