zipcode,average_price,average_price_per_sqft,average_days_on_market,total_listings,city,state
77498,533531.07,213.62,49.4,89,Sugar Land,TX
77039,525894.66,252.93,76.68,38,Houston,TX
77077,485330.74,184.15,41.62,121,Houston,TX
77484,591518.19,244.53,62.2,228,Prairie View,TX
77598,446788.47,184.24,54.61,51,Webster,TX
77086,362231.36,222.92,55.71,28,Houston,TX
77033,271917.86,158.76,56.31,119,Houston,TX
77536,348374.51,159.47,54.03,68,Deer park,TX
77384,586983.51,205.89,48.08,130,Conroe,TX
77084,345690.22,156.17,45.48,180,Houston,TX
77503,311350.0,209.19,52.0,20,Pasadena,TX
77062,324953.31,163.1,40.42,65,Houston,TX
77078,240158.78,156.22,53.68,41,Houston,TX
77339,425083.15,159.55,41.92,126,Kingwood,TX
77477,377056.69,197.71,43.26,42,Stafford,TX
77587,293734.13,186.75,72.31,16,South Houston,TX
77031,297969.94,140.63,70.71,17,Houston,TX
77357,336355.7,162.63,47.33,445,Woodbranch,TX
77017,270996.03,151.74,78.84,31,Houston,TX
77058,330935.26,174.18,58.88,81,Houston,TX
77009,594907.22,324.95,70.09,288,Houston,TX
77081,375983.95,179.67,50.75,20,Houston,TX
77382,1115893.76,240.42,44.95,82,Spring,TX
77069,428230.46,143.68,55.78,93,Houston,TX
77051,306078.26,169.16,55.43,134,Houston,TX
77070,397210.28,148.91,42.41,102,Houston,TX
77015,273836.31,143.41,80.7,89,Houston,TX
77027,1523645.22,419.01,65.6,114,Houston,TX
77365,468041.17,194.49,52.96,418,Porter,TX
77429,577569.9,186.44,50.78,218,Tomball,TX
77013,320485.57,163.71,55.86,7,Houston,TX
77022,385098.96,227.31,79.42,134,Houston,TX
77088,297000.75,167.41,61.93,150,C Houston,TX
77433,563236.74,192.76,41.64,820,Cypress,TX
77004,537145.81,258.05,73.89,216,Houston,TX
77381,1088548.17,278.11,35.32,60,The Woodlands,TX
77479,864971.53,228.93,39.23,163,Sugar Land,TX
77030,838677.31,304.28,55.86,49,Houston,TX
77092,286963.18,166.02,85.22,99,Houston,TX
77536,348374.51,159.47,54.03,68,Deer Park,TX
77063,356243.82,218.14,66.52,180,Houston,TX
77389,863997.5,259.27,57.2,149,Woodland,TX
77025,830240.63,273.24,55.95,96,Houston,TX
77345,477479.04,158.64,39.35,74,Kingwood,TX
77002,363215.08,284.5,79.02,60,Houston,TX
77095,391900.15,152.09,42.75,122,Houston,TX
77489,288460.14,158.96,69.29,77,Missouri City,TX
77048,283788.02,175.41,67.4,92,Houston,TX
77381,1088548.17,278.11,35.32,60,Shenandoah,TX
77477,377056.69,197.71,43.26,42,Meadows Place,TX
77449,322255.38,160.33,48.98,251,Cypress,TX
77094,1072165.83,230.13,34.83,6,Houston,TX
77064,347149.86,157.79,46.6,43,Jersey Village,TX
77504,296761.54,162.73,56.58,26,Pasadena,TX
77085,321986.6,149.5,51.6,15,Houston,TX
77019,2487279.77,538.24,79.54,148,Houston,TX
77067,259608.73,142.8,33.36,33,Houston,TX
77079,667248.09,247.17,62.47,92,Houston,TX
77060,198953.08,137.4,48.54,13,Houston,TX
77459,559716.59,188.46,51.6,596,Missouri City,TX
77546,748510.51,205.95,48.03,171,League City,TX
77011,467402.33,237.7,93.72,89,houston,TX
77098,1177588.32,405.68,49.47,78,Houston,TX
77498,533531.07,213.62,49.4,89,Sugar land,TX
77586,672347.92,242.88,101.21,135,Seabrook,TX
77375,522269.97,199.68,49.32,383,Tomball,TX
77578,530507.54,193.33,48.98,581,Manvel,TX
77056,1119296.6,339.71,75.3,182,Glenn Heights,TX
77044,414736.1,161.39,51.67,230,Humble,TX
77011,467402.33,237.7,93.72,89,Houston,TX
77565,839927.41,300.98,60.1,39,Kemah,TX
77050,705816.67,470.79,62.67,6,Houston,TX
77057,601561.76,209.74,54.58,194,Houston,TX
77006,920734.75,319.17,61.17,109,Houston,TX
77357,336355.7,162.63,47.33,445,New Caney,TX
77423,503823.64,167.97,39.91,11,Brookshire,TX
77083,309672.11,148.91,44.13,95,Houston,TX
77029,252587.67,174.21,52.28,43,Houston,TX
77012,313214.54,186.12,100.77,13,Houston,TX
77494,614448.0,199.03,33.46,405,Fulshear,TX
77406,621365.9,204.9,40.7,516,Fulshear,TX
77565,839927.41,300.98,60.1,39,Clear Lake Shores,TX
77381,1088548.17,278.11,35.32,60,Spring,TX
77581,433986.58,175.22,54.61,106,Pearland,TX
77502,290029.88,164.03,64.12,43,Pasadena,TX
77581,433986.58,175.22,54.61,106,Brookside Village,TX
77469,465775.64,179.01,45.85,464,Richmond,TX
77091,372501.24,212.47,68.41,262,East Houston,TX
77040,404905.28,178.73,44.03,61,Jersey Village,TX
77053,331903.24,189.42,49.45,67,Houston,TX
77008,844600.32,345.45,56.56,213,Houston,TX
77091,372501.24,212.47,68.41,262,Houston,TX
77089,319622.77,149.9,46.13,69,Pearland,TX
77088,297000.75,167.41,61.93,150,Houston,TX
77005,1986926.81,511.86,59.12,78,Houston,TX
77089,319622.77,149.9,46.13,69,Houston,TX
77024,2706102.39,419.75,64.96,137,Houston,TX
77571,365396.32,174.48,66.72,161,La Porte,TX
77032,327126.3,174.91,79.43,30,Houston,TX
77040,404905.28,178.73,44.03,61,Houston,TX
77047,349240.61,188.0,54.1,128,Houston,TX
77489,288460.14,158.96,69.29,77,Missouri city,TX
77021,383302.39,193.05,60.78,180,Houston,TX
77385,403841.78,170.25,44.35,298,Conroe,TX
77493,503621.87,190.06,45.07,813,Katy,TX
77546,748510.51,205.95,48.03,171,Friendswood,TX
77003,468134.28,234.75,50.7,86,Houston,TX
77396,356406.15,149.0,50.65,127,Humble,TX
